itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Juan San Martin,argazkilari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20San%20Martin%20euskaltzaina%201976an.jpg,1922-06-23T00:00:00Z
Juan San Martin,idazle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20San%20Martin%20euskaltzaina%201976an.jpg,1922-06-23T00:00:00Z
Juan San Martin,ararteko,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20San%20Martin%20euskaltzaina%201976an.jpg,1922-06-23T00:00:00Z
Juan San Martin,arkeologo,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20San%20Martin%20euskaltzaina%201976an.jpg,1922-06-23T00:00:00Z
Luis Mazzantini,toreatzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Mazzantini2%2B%2B.JPG,1856-10-10T00:00:00Z
Luis Mazzantini,zezen-hiltzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Mazzantini2%2B%2B.JPG,1856-10-10T00:00:00Z
Juan Antonio Mogel,idazle,gizonezkoa,Eibar,,1745-12-06T00:00:00Z
Juan Antonio Mogel,apaiz katoliko,gizonezkoa,Eibar,,1745-12-06T00:00:00Z
Juan Antonio Mogel,inkisidore,gizonezkoa,Eibar,,1745-12-06T00:00:00Z
Alberto Albistegi,futbolari,gizonezkoa,Eibar,,1964-09-24T00:00:00Z
Aitor Gorosabel,gitarra-jotzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/AitorGorosabel2.jpg,1970-02-02T00:00:00Z
Ramón Gabilondo,futbol entrenatzaile,gizonezkoa,Eibar,,1913-03-15T00:00:00Z
Ramón Gabilondo,futbolari,gizonezkoa,Eibar,,1913-03-15T00:00:00Z
Josetxo Anitua,abeslari,gizonezkoa,Eibar,,1964-07-20T00:00:00Z
Agustin Gisasola,futbolari,gizonezkoa,Eibar,,1952-07-22T00:00:00Z
Miguel Gallastegi,pilotari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Gallastegi%20%281942%29.JPG,1918-02-25T00:00:00Z
Antxon Urrosolo,idazle,gizonezkoa,Eibar,,1954-01-01T00:00:00Z
Antxon Urrosolo,telebista aurkezle,gizonezkoa,Eibar,,1954-01-01T00:00:00Z
Antxon Urrosolo,kazetari,gizonezkoa,Eibar,,1954-01-01T00:00:00Z
José Ramón Orozko,abeslari,gizonezkoa,Eibar,,1921-01-01T00:00:00Z
Alberto Unamuntzaga,politikari,gizonezkoa,Eibar,,1975-12-05T00:00:00Z
Iñigo Beristain,argazkilari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/RetratoI%C3%B1igoBeristain2008.jpg,1973-12-12T00:00:00Z
Jose Antonio Iturriotz,politikari,gizonezkoa,Eibar,,1856-01-01T00:00:00Z
Aquilino Amuátegui,politikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Aquilino%20Amu%C3%A1tegui.png,1877-01-01T00:00:00Z
Aurora Baskaran,politikari,emakumezkoa,Eibar,,1933-08-11T00:00:00Z
Karlos Elgezua,eskultore,gizonezkoa,Eibar,,1898-11-03T00:00:00Z
